Seq_ID,Seq_len,Total_reads,QC45_mean,T_Deduplicated%
P002_WG01_84_R1_fastqc,150,2292259,35.8,77.13
P002_WG01_84_R2_fastqc,150,2292259,29.49,80.48
P002_WG02_12_R1_fastqc,150,765520,34.11,80.13
P002_WG02_12_R2_fastqc,150,765520,28.71,82.94
P002_WG03_22_R1_fastqc,150,983910,34.74,79.83
P002_WG03_22_R2_fastqc,150,983910,28.68,82.76
P002_WG04_10_R1_fastqc,150,885551,34.18,79.21
P002_WG04_10_R2_fastqc,150,885551,28.2,82.37
P002_WG05_69_R1_fastqc,150,1396862,34.75,78.93
P002_WG05_69_R2_fastqc,150,1396862,29.05,81.75
P002_WG06_14_R1_fastqc,150,1170402,35.26,78.23
P002_WG06_14_R2_fastqc,150,1170402,28.93,81.54
P002_WG07_18_R1_fastqc,150,690660,34.44,80.14
P002_WG07_18_R2_fastqc,150,690660,29.18,82.72
P002_WH10_34_R1_fastqc,150,971662,33.54,78.3
P002_WH10_34_R2_fastqc,150,971662,29.89,80.78
P002_WH12_56_R1_fastqc,150,1594675,34.91,74.11
P002_WH12_56_R2_fastqc,150,1594675,27.85,79.05
P003_WA01_59_R1_fastqc,150,956422,35.72,72.89
P003_WA01_59_R2_fastqc,150,956422,33.39,73.62
P003_WA02_27_R1_fastqc,150,2667004,36.59,67.66
P003_WA02_27_R2_fastqc,150,2667004,30.94,71.54
P003_WA06_74_R1_fastqc,150,2343818,36.39,68.55
P003_WA06_74_R2_fastqc,150,2343818,32.43,71.0
P003_WA07_77_R1_fastqc,150,1389508,35.96,71.37
P003_WA07_77_R2_fastqc,150,1389508,29.77,75.61
P003_WA08_16_R1_fastqc,150,890044,35.99,66.45
P003_WA08_16_R2_fastqc,150,890044,30.83,70.36
P003_WA09_36_R1_fastqc,150,768192,29.82,78.4
P003_WA09_36_R2_fastqc,150,768192,26.41,81.67
P003_WA10_54_R1_fastqc,150,1461301,35.28,69.82
P003_WA10_54_R2_fastqc,150,1461301,30.6,74.31
P003_WA11_25_R1_fastqc,150,1091090,36.39,70.17
P003_WA11_25_R2_fastqc,150,1091090,33.11,71.87
P003_WB02_39_R1_fastqc,150,2578190,36.19,65.37
P003_WB02_39_R2_fastqc,150,2578190,31.23,69.23
P003_WB04_20_R1_fastqc,150,1082637,35.99,71.38
P003_WB04_20_R2_fastqc,150,1082637,30.14,75.17
P003_WB08_57_R1_fastqc,150,1929656,36.41,67.92
P003_WB08_57_R2_fastqc,150,1929656,32.48,70.06
P003_WB09_63_R1_fastqc,150,2859501,35.78,68.61
P003_WB09_63_R2_fastqc,150,2859501,26.88,76.56
P003_WB11_5_R1_fastqc,150,453036,33.55,71.44
P003_WB11_5_R2_fastqc,150,453036,30.75,74.78
P003_WC01_65_R1_fastqc,150,3035508,36.51,66.14
P003_WC01_65_R2_fastqc,150,3035508,31.79,69.39
P003_WC05_81_R1_fastqc,150,1557874,36.01,73.61
P003_WC05_81_R2_fastqc,150,1557874,29.64,77.75
P003_WC06_3_R1_fastqc,150,1325322,36.96,64.83
P003_WC06_3_R2_fastqc,150,1325322,34.4,66.68
P003_WC10_47_R1_fastqc,150,2601530,37.37,57.85
P003_WC10_47_R2_fastqc,150,2601530,33.13,61.0
P003_WC12_43_R1_fastqc,150,1204942,36.42,72.93
P003_WC12_43_R2_fastqc,150,1204942,30.22,76.85
P003_WD02_72_R1_fastqc,150,622908,35.71,73.14
P003_WD02_72_R2_fastqc,150,622908,28.19,78.79
P003_WD05_71_R1_fastqc,150,1733736,35.2,22.5
P003_WD05_71_R2_fastqc,150,1733736,30.01,27.22
P003_WD06_50_R1_fastqc,150,2199260,36.77,18.2
P003_WD06_50_R2_fastqc,150,2199260,31.62,23.94
P003_WD07_86_R1_fastqc,150,1294516,33.89,47.44
P003_WD07_86_R2_fastqc,150,1294516,31.74,48.75
P003_WD08_80_R1_fastqc,150,509401,27.03,44.37
P003_WD08_80_R2_fastqc,150,509401,27.44,39.17
P003_WE02_89_R1_fastqc,150,2670456,36.35,21.07
P003_WE02_89_R2_fastqc,150,2670456,31.06,27.39
P003_WE04_21_R1_fastqc,150,2190438,36.58,19.87
P003_WE04_21_R2_fastqc,150,2190438,30.92,26.35
P003_WE05_94_R1_fastqc,150,1629312,35.61,18.14
P003_WE05_94_R2_fastqc,150,1629312,29.11,26.13
P003_WE06_35_R1_fastqc,150,1028576,35.09,22.1
P003_WE06_35_R2_fastqc,150,1028576,29.28,30.29
P003_WE09_24_R1_fastqc,150,2564462,36.5,66.5
P003_WE09_24_R2_fastqc,150,2564462,30.56,70.79
P003_WE11_13_R1_fastqc,150,2406257,36.68,63.6
P003_WE11_13_R2_fastqc,150,2406257,29.82,69.59
P003_WE12_76_R1_fastqc,150,2762589,36.46,64.8
P003_WE12_76_R2_fastqc,150,2762589,31.62,68.03
P003_WF01_28_R1_fastqc,150,2277642,36.25,66.81
P003_WF01_28_R2_fastqc,150,2277642,30.62,70.91
P003_WF02_78_R1_fastqc,150,2630865,36.19,66.87
P003_WF02_78_R2_fastqc,150,2630865,32.41,69.31
P003_WF03_79_R1_fastqc,150,1547004,37.14,63.61
P003_WF03_79_R2_fastqc,150,1547004,31.37,67.78
P003_WF04_45_R1_fastqc,150,1547645,36,68.82
P003_WF04_45_R2_fastqc,150,1547645,32.16,71.28
P003_WF05_92_R1_fastqc,150,1045722,36.14,72.27
P003_WF05_92_R2_fastqc,150,1045722,28.64,77.48
P003_WF09_46_R1_fastqc,150,3305633,36.86,60.63
P003_WF09_46_R2_fastqc,150,3305633,31.69,64.6
P003_WG01_84_R1_fastqc,150,1934227,36.2,75.65
P003_WG01_84_R2_fastqc,150,1934227,28.58,80.59
P003_WG03_22_R1_fastqc,150,1870267,36.14,74.22
P003_WG03_22_R2_fastqc,150,1870267,27.88,79.51
P003_WG04_10_R1_fastqc,150,607559,35.33,78.92
P003_WG04_10_R2_fastqc,150,607559,32.52,80.53
P003_WG05_69_R1_fastqc,150,1003530,35.63,79.57
P003_WG05_69_R2_fastqc,150,1003530,27.62,84.18
P003_WG07_18_R1_fastqc,150,2215481,36.81,68.93
P003_WG07_18_R2_fastqc,150,2215481,31.2,72.71
P003_WG08_68_R1_fastqc,150,849144,36.77,76.48
P003_WG08_68_R2_fastqc,150,849144,29.72,80.61
P003_WG09_41_R1_fastqc,150,1317546,36.04,73.73
P003_WG09_41_R2_fastqc,150,1317546,27.98,79.37
P003_WG11_96_R1_fastqc,150,2098709,36.58,67.27
P003_WG11_96_R2_fastqc,150,2098709,30.56,71.31
P003_WG12_42_R1_fastqc,150,357286,31.3,82.24
P003_WG12_42_R2_fastqc,150,357286,28.74,84.84
P003_WH02_32_R1_fastqc,150,3263916,35.86,70.02
P003_WH02_32_R2_fastqc,150,3263916,31.83,72.21
P003_WH04_73_R1_fastqc,150,3385258,36.74,62.81
P003_WH04_73_R2_fastqc,150,3385258,30.58,67.81
P003_WH05_15_R1_fastqc,150,2686904,36.71,66.06
P003_WH05_15_R2_fastqc,150,2686904,30.05,71.43
P003_WH06_49_R1_fastqc,150,2058518,36.54,71.47
P003_WH06_49_R2_fastqc,150,2058518,29.53,76.37
P003_WH07_1_R1_fastqc,150,2997241,36.73,62.74
P003_WH07_1_R2_fastqc,150,2997241,30.73,67.45
P003_WH08_85_R1_fastqc,150,1231653,35.57,73.38
P003_WH08_85_R2_fastqc,150,1231653,32.58,75.29
P003_WH09_83_R1_fastqc,150,2473429,36.84,64.92
P003_WH09_83_R2_fastqc,150,2473429,31.89,68.27
P003_WH10_34_R1_fastqc,150,1715675,33.96,75.55
P003_WH10_34_R2_fastqc,150,1715675,28.63,78.65
P003_WH11_95_R1_fastqc,150,2204026,36.19,70.55
P003_WH11_95_R2_fastqc,150,2204026,30.28,74.6
P004_WA01_59_R1_fastqc,150,2602800,34.65,71.49
P004_WA01_59_R2_fastqc,150,2602800,31.47,73.8
P004_WA02_27_R1_fastqc,150,417988,34.47,75.27
P004_WA02_27_R2_fastqc,150,417988,32.86,77.36
P004_WA03_82_R1_fastqc,150,406279,33.74,76.56
P004_WA03_82_R2_fastqc,150,406279,24.55,83.9
P004_WA04_7_R1_fastqc,150,1950145,36.5,72.17
P004_WA04_7_R2_fastqc,150,1950145,30.95,75.56
P004_WA06_74_R1_fastqc,150,2121446,36.14,66.73
P004_WA06_74_R2_fastqc,150,2121446,28.64,72.91
P004_WA08_16_R1_fastqc,150,409807,35.96,74.14
P004_WA08_16_R2_fastqc,150,409807,31.47,76.14
P004_WA09_36_R1_fastqc,150,762071,35.67,53.01
P004_WA09_36_R2_fastqc,150,762071,32.57,51.62
P004_WA11_25_R1_fastqc,150,210149,31.49,55.33
P004_WA11_25_R2_fastqc,150,210149,28.32,57.37
P004_WB01_31_R1_fastqc,150,3862478,36.34,62.73
P004_WB01_31_R2_fastqc,150,3862478,29.26,69.04
P004_WB03_2_R1_fastqc,150,2411551,36.25,66.74
P004_WB03_2_R2_fastqc,150,2411551,30.61,70.99
P004_WB04_20_R1_fastqc,150,548311,34.17,70.81
P004_WB04_20_R2_fastqc,150,548311,30.63,74.2
P004_WB05_90_R1_fastqc,150,563196,32.03,75.25
P004_WB05_90_R2_fastqc,150,563196,28.55,78.29
P004_WB06_6_R1_fastqc,150,2639812,36.03,65.99
P004_WB06_6_R2_fastqc,150,2639812,30.37,70.66
P004_WB07_29_R1_fastqc,150,2123980,36.55,63.06
P004_WB07_29_R2_fastqc,150,2123980,27.73,71.59
P004_WB08_57_R1_fastqc,150,3003939,36.46,56.1
P004_WB08_57_R2_fastqc,150,3003939,31.86,60.12
P004_WB09_63_R1_fastqc,150,174191,31.69,63.43
P004_WB09_63_R2_fastqc,150,174191,29.4,64.8
P004_WB10_55_R1_fastqc,150,1462563,36.67,48.14
P004_WB10_55_R2_fastqc,150,1462563,32.29,51.74
P004_WB11_5_R1_fastqc,150,1064771,36.12,62.28
P004_WB11_5_R2_fastqc,150,1064771,33.01,63.83
P004_WB12_75_R1_fastqc,150,1222598,36.63,51.03
P004_WB12_75_R2_fastqc,150,1222598,32.67,53.53
P004_WC03_40_R1_fastqc,150,1744941,35.94,54.47
P004_WC03_40_R2_fastqc,150,1744941,32.24,57.46
P004_WC04_19_R1_fastqc,150,2424503,36.27,49.74
P004_WC04_19_R2_fastqc,150,2424503,31.6,53.98
P004_WC06_3_R1_fastqc,150,647003,34.48,50.73
P004_WC06_3_R2_fastqc,150,647003,26.81,60.59
P004_WC08_17_R1_fastqc,150,1312448,35.86,49.32
P004_WC08_17_R2_fastqc,150,1312448,33.09,51.38
P004_WC09_93_R1_fastqc,150,451132,32.6,70.84
P004_WC09_93_R2_fastqc,150,451132,30.06,71.66
P004_WC10_47_R1_fastqc,150,1961163,37.19,44.87
P004_WC10_47_R2_fastqc,150,1961163,31.69,49.96
P004_WC11_70_R1_fastqc,150,1456422,35.72,49.76
P004_WC11_70_R2_fastqc,150,1456422,30.56,54.58
P004_WC12_43_R1_fastqc,150,4076012,34.76,11.93
P004_WC12_43_R2_fastqc,150,4076012,32.89,11.9
P004_WD01_52_R1_fastqc,150,9578483,36.08,10.03
P004_WD01_52_R2_fastqc,150,9578483,33.33,12.69
P004_WD02_72_R1_fastqc,150,2555968,36.31,9.38
P004_WD02_72_R2_fastqc,150,2555968,33.32,10.32
P004_WD03_30_R1_fastqc,150,2782914,33.54,19.23
P004_WD03_30_R2_fastqc,150,2782914,32.95,15.43
P004_WD05_71_R1_fastqc,150,3184174,33.32,15.98
P004_WD05_71_R2_fastqc,150,3184174,31.23,14.63
P004_WD06_50_R1_fastqc,150,2856971,37.18,8.16
P004_WD06_50_R2_fastqc,150,2856971,34.14,9.75
P004_WD07_86_R1_fastqc,150,4379956,32.88,18.13
P004_WD07_86_R2_fastqc,150,4379956,29.99,20.08
P004_WD08_80_R1_fastqc,150,2601920,35.17,14.3
P004_WD08_80_R2_fastqc,150,2601920,33.73,13.06
P004_WD09_64_R1_fastqc,150,6788362,36.35,11.02
P004_WD09_64_R2_fastqc,150,6788362,33.29,12.73
P004_WD10_8_R1_fastqc,150,7249524,37.31,7.98
P004_WD10_8_R2_fastqc,150,7249524,34.09,10.43
P004_WD11_58_R1_fastqc,150,3367673,32.67,19.85
P004_WD11_58_R2_fastqc,150,3367673,31.16,17.43
P004_WD12_9_R1_fastqc,150,1223222,27.29,11.04
P004_WD12_9_R2_fastqc,150,1223222,25.97,14.17
P004_WE01_48_R1_fastqc,150,3407058,35.44,11.94
P004_WE01_48_R2_fastqc,150,3407058,33.14,11.81
P004_WE03_87_R1_fastqc,150,2479014,32.93,19.45
P004_WE03_87_R2_fastqc,150,2479014,30.81,18.76
P004_WE05_94_R1_fastqc,150,2294929,36.46,66.37
P004_WE05_94_R2_fastqc,150,2294929,33.36,68.07
P004_WE06_35_R1_fastqc,150,1289301,36.74,62.4
P004_WE06_35_R2_fastqc,150,1289301,29.69,68.83
P004_WE08_4_R1_fastqc,150,2037261,37.27,59.8
P004_WE08_4_R2_fastqc,150,2037261,31.74,64.28
P004_WE09_24_R1_fastqc,150,2683622,36.52,66.07
P004_WE09_24_R2_fastqc,150,2683622,33.5,67.68
P004_WE11_13_R1_fastqc,150,751509,31.77,71.57
P004_WE11_13_R2_fastqc,150,751509,30.23,72.51
P004_WE12_76_R1_fastqc,150,3859155,36.72,56.07
P004_WE12_76_R2_fastqc,150,3859155,29.54,63.79
P004_WF01_28_R1_fastqc,150,2267211,35.14,63.54
P004_WF01_28_R2_fastqc,150,2267211,27.89,70.43
P004_WF03_79_R1_fastqc,150,2423913,36.57,63.17
P004_WF03_79_R2_fastqc,150,2423913,32.35,66.19
P004_WF04_45_R1_fastqc,150,3659758,36.5,60.44
P004_WF04_45_R2_fastqc,150,3659758,30.72,65.61
P004_WF05_92_R1_fastqc,150,2009855,36.35,67.21
P004_WF05_92_R2_fastqc,150,2009855,32.45,69.26
P004_WF06_60_R1_fastqc,150,2833519,35.87,61.97
P004_WF06_60_R2_fastqc,150,2833519,31.47,65.55
P004_WF07_33_R1_fastqc,150,1848934,36.33,49.6
P004_WF07_33_R2_fastqc,150,1848934,33.11,51.61
P004_WF08_53_R1_fastqc,150,2334074,36.77,40.88
P004_WF08_53_R2_fastqc,150,2334074,32.38,44.73
P004_WF09_46_R1_fastqc,150,1464681,37.19,48.31
P004_WF09_46_R2_fastqc,150,1464681,33.93,49.97
P004_WF10_26_R1_fastqc,150,1043173,37.19,44.18
P004_WF10_26_R2_fastqc,150,1043173,32.46,48.0
P004_WF11_51_R1_fastqc,150,1546305,36.6,45.81
P004_WF11_51_R2_fastqc,150,1546305,33.64,47.64
P004_WF12_66_R1_fastqc,150,2153232,35.28,50.13
P004_WF12_66_R2_fastqc,150,2153232,31.36,53.38
P004_WG01_84_R1_fastqc,150,626289,34.18,51.36
P004_WG01_84_R2_fastqc,150,626289,30.53,54.42
P004_WG02_12_R1_fastqc,150,1362148,36.46,49.66
P004_WG02_12_R2_fastqc,150,1362148,34.2,51.43
P004_WG03_22_R1_fastqc,150,1198452,36.39,45.1
P004_WG03_22_R2_fastqc,150,1198452,30.74,49.83
P004_WG04_10_R1_fastqc,150,1931815,36.99,41.95
P004_WG04_10_R2_fastqc,150,1931815,32.48,46.01
P004_WG05_69_R1_fastqc,150,1288035,35.23,56.06
P004_WG05_69_R2_fastqc,150,1288035,32.49,57.74
P004_WG06_14_R1_fastqc,150,228182,33.44,65.07
P004_WG06_14_R2_fastqc,150,228182,32.33,66.13
P004_WG07_18_R1_fastqc,150,873732,36.05,54.32
P004_WG07_18_R2_fastqc,150,873732,33.78,55.58
P004_WG08_68_R1_fastqc,150,2339112,36.13,46.73
P004_WG08_68_R2_fastqc,150,2339112,32.51,49.75
P004_WG09_41_R1_fastqc,150,1492867,36.91,44.94
P004_WG09_41_R2_fastqc,150,1492867,32.4,48.55
P004_WG10_37_R1_fastqc,150,1790549,36.92,29.52
P004_WG10_37_R2_fastqc,150,1790549,32.55,33.3
P004_WG11_96_R1_fastqc,150,449755,33.32,50.65
P004_WG11_96_R2_fastqc,150,449755,31.3,52.71
P004_WG12_42_R1_fastqc,150,1255463,35.8,40.97
P004_WG12_42_R2_fastqc,150,1255463,32.39,43.02
P004_WH02_32_R1_fastqc,150,1426458,35.35,38.12
P004_WH02_32_R2_fastqc,150,1426458,31.07,41.06
P004_WH03_88_R1_fastqc,150,3516175,36.24,33.64
P004_WH03_88_R2_fastqc,150,3516175,34.29,35.12
P004_WH04_73_R1_fastqc,150,803580,31.97,41.31
P004_WH04_73_R2_fastqc,150,803580,30.87,41.47
P004_WH05_15_R1_fastqc,150,910388,30.17,45.03
P004_WH05_15_R2_fastqc,150,910388,28,46.93
P004_WH06_49_R1_fastqc,150,460250,29.46,50.76
P004_WH06_49_R2_fastqc,150,460250,29.2,49.51
P004_WH07_1_R1_fastqc,150,3282417,35.23,37.92
P004_WH07_1_R2_fastqc,150,3282417,32.68,39.42
P004_WH08_85_R1_fastqc,150,4008459,36.19,32.24
P004_WH08_85_R2_fastqc,150,4008459,32.71,35.24
P004_WH10_34_R1_fastqc,150,2877718,36.88,28.03
P004_WH10_34_R2_fastqc,150,2877718,33.55,31.06
P004_WH11_95_R1_fastqc,150,1578733,33.25,43.25
P004_WH11_95_R2_fastqc,150,1578733,30.58,43.79
P004_WH12_56_R1_fastqc,150,1364809,35.41,39.9
P004_WH12_56_R2_fastqc,150,1364809,32.14,41.93
