Acer_acuminatum,Acer_cordatum
Acer_amamiense,Acer_longipes
Acer_australe,Acer_amplum
Acer_buergerianum_subsp._buergerianum,Acer_buergerianum_subsp._ningpoense
Acer_campbellii_subsp._campbellii,Acer_campbellii_subsp._wilsonii
Acer_campestre,Acer_miyabei_subsp._miaotaiense
Acer_capillipes,Acer_pubipalmatum
Acer_cappadocicum,Acer_linganense
Acer_cappadocicum_subsp._cappadocicum,Acer_linganense_subsp._koreanum
Acer_circinatum,Acer_robustum
Acer_crataegifolium,Acer_sinopurpurascens
Acer_diabolicum,Acer_sutchuenense
Acer_oliverianum_subsp._oliverianum,Acer_oliverianum
Acer_pectinatum_subsp._taronense,Acer_pectinatum_subsp._maximowiczii
Acer_pictum_subsp._pictum,Acer_pictum
Achyranthes_aspera_var._sicula,Achyranthes_aspera
Actinidia_arisanensis,Actinidia_callosa_var._discolor
Actinidia_chengkouensis,Actinidia_callosa_var._henryi
Adenocaulon_bicolor,Adenocaulon_himalaicum
Aesculus_assamica,Aesculus_chinensis_var._wilsonii
Agrostis_acutiflora,Agrostis_capillaris
Agrostis_aequivalvis,Agrostis_perennis
Alisma_ancile,Alisma_plantago-aquatica
Allium_cepa_var._aggregatum,Allium_cepa
Allium_cyaneum_var._deltoides,Allium_cyaneum
Allium_victorialis_var._platyphyllum,Allium_victorialis
Amelanchier_utahensis,Amelanchier_sp.
Ampelopsis_aegirophylla,Ampelopsis_delavayana
Ampelopsis_tomentosa,Ampelopsis_glandulosa_var._kulingensis
Ampelopsis_veitchii,Ampelopsis_glandulosa_var._heterophylla
Ampelopsis_vitifolia,Ampelopsis_glandulosa_var._hancei
Ampelopsis_wangii,Ampelopsis_glandulosa_var._brevipedunculata
Anaphalis_aureopunctata,Anaphalis_margaritacea_var._japonica
Andropogon_villosus,Andropogon_virginicus_var._virginicus
Andropogon_wombalensis,Andropogon_glomeratus_var._glomeratus
Andropogon_zeae,Andropogon_glomeratus_subsp._glaucopsis
Andropogon_zeylanicus,Andropogon_elliottii
Andropogon_zizanioides,Andropogon_capillipes
Anemone_yezoensis,Anemone_rivularis_var._flore-minore
Anemone_yulongshanica,Anemone_acutiloba
Antenoron_filiforme_var._neofiliforme,Antenoron_filiforme_var._filiforme
Aristida_purpurascens,Aristida_purpurascens_var._purpurascens
Aristolochia_zonguldakensis,Aristolochia_serpentaria
Aronia_botryapium,Aronia_arbutifolia
Artemisia_abrotanum,Artemisia_atrovirens
Arundinella_setosa_var._setosa,Arundinella_setosa
Asclepias_tuberosa_subsp._interior,Asclepias_tuberosa
Asemeia_apopetala,Asemeia_violacea
Asimina_bethanyensis,Asimina_incana_X_angustifolia
Asimina_nashii,Asimina_incana_X_pygmea
Aster_yunnanensis,Aster_dumosus
Barbarea_abyssinica,Barbarea_vulgaris
Berberis_zayulana,Berberis_bealei
Berchemia_polyphylla_var._leioclada,Berchemia_polyphylla
Berlandiera_lyrata,Berlandiera_subacaulis
Betula_wuyiensis,Betula_utilis_subsp._albosinensis
Bidens_connata,Bidens_connatus
Bidens_tenera,Bidens_maximowicziana
Bidens_valida,Bidens_vulgata
Bistorta_abbreviata,Bistorta_amplexicaulis
Brassica_tyrrhena,Brassica_sp.
Buddleja_acuminata,Buddleja_albiflora
Bulbostylis_abbreviata,Bulbostylis_ciliatifolia_var._ciliatifolia
Bulbostylis_abortiva,Bulbostylis_ciliatifolia_var._coarctata
Buxus_microphylla_var._japonica,Buxus_microphylla
Calamagrostis_effusa,Calamagrostis_effusiflora
Callitriche_vigens,Callitriche_palustris
Calystegia_affinis,Calystegia_sericata
Campanula_zoysii,Campanula_rapanunculoides
Capnoides_lenense,Capnoides_sempervirens
Capsella_alpina,Capsella_bursa-pastoris
Carex_abitibiana,Carex_annectens
Carex_aboriginum,Carex_atlantica_subsp._capillacea
Carex_Lurida,Carex_lurida
Carex_xlidii,Carex_tenera
Carex_xsalina,Carex_sp.
Carex_xvacillans,Carex_scoparia
Carex_yamatsutana,Carex_rosea
Carex_yonganensis,Carex_muhlenbergii
Carex_yunlingensis,Carex_incomperta
Carex_yunyiana,Carex_humilis
Carex_yushuensis,Carex_ebenea
Carex_zahnii,Carex_drymophila
Carex_zhenkangensis,Carex_debilis_var._rudgei
Carex_zhonghaiensis,Carex_debilis_var._pubera
Carex_zizaniifolia,Carex_brevior
Carex_zunyiensis,Carex_breviculmis
Carya_alba,Carya_glabra
Cassia_abbreviata,Cassia_fasciculata
Castanea_cochinchinensis,Castanea_pumila
Ceanothus_caeruleus,Ceanothus_microphyllus
Celtis_vandervoetiana,Celtis_occidenialis
Cerastium_zhiguliense,Cerastium_holosteoides_var._vulgare
Chamaecrista_nictitans_subsp._disadena,Chamaecrista_nictitans_var._aspera
Chamaerhodos_mongholica,Chamaerhodos_canescens
Chamaesyce_arabica,Chamaesyce_maculata
Chamerion_conspersum,Chamerion_angustifolium
Chasmanthium_curvifolium,Chasmanthium_laxum
Chenopodium_ugandae,Chenopodium_urbicum
Chenopodium_wilsonii,Chenopodium_stenophyllum
Chenopodium_zoellneri,Chenopodium_glaucum
Chrysanthemum_arvense,Chrysanthemum_leucanthemum
Chrysanthemum_wakasaense,Chrysanthemum_x_morifolium
Chrysopsis_linearifolia,Chrysopsis_mariana
Chrysosplenium_albertii,Chrysosplenium_lanuginosum
Chrysosplenium_wuwenchenii,Chrysosplenium_lectus-cochleae
Cimicifuga_nanchuenensis,Cimicifuga_americana
Cirsium_acaule,Cirsium_fargesii
Cirsium_yezoense,Cirsium_vlassovianum
Clinopodium_cilicicum,Clinopodium_chinense
Cnidoscolus_aconitifolius,Cnidoscolus_stimulosus
Codonopsis_affinis,Codonopsis_javanica
Coix_aquatica,Coix_lacryma-jobi
Commelina_zigzag,Commelina_erecta
Convallaria_keiskei,Convallaria_pseudomajalis
Convolvulus_acanthoclados,Convolvulus_catesbeiana_subsp._sericata
Coreopsis_aristota,Coreopsis_major_var._stellata
Corydalis_zetterlundii,Corydalis_micrantha_subsp._australis
Corydalis_zhongdianensis,Corydalis_gigantea
Corylus_wulingensis,Corylus_heterophylla_var._sutchuenensis
Crataegus_zarrei,Crataegus_sp.
Crinum_zeylanicum,Crinum_moorei_X_ornatum
Crocus_zonatus,Crocus_sp.
Crotalaria_yuanjiangensis,Crotalaria_sagittalis
Crotalaria_yunnanensis,Crotalaria_pallida_var._obovata
Croton_glandulosus,Croton_glandulosus_var._glandulosus
Croton_zambesicus,Croton_sp.
Cyclea_wattii,Cyclea_racemosa
Cynoglossum_yemenense,Cynoglossum_virginianum
Cyperus_volodia,Cyperus_sp.
Cypripedium_wenqingiae,Cypripedium_calceolus_var._pubescens
Dalea_wrightii,Dalea_pinnata_var._pinnata
Danthonia_vickeryae,Danthonia_sericea
Digitalis_trojana,Digitalis_sp.
Elaeagnus_tonkinensis,Elaeagnus_glabra
Elaeagnus_xingwenensis,Elaeagnus_umbellata
Elatostema_yuennanense,Elatostema_parvum
Elatostema_zhenyuanense,Elatostema_cuspidatum
Eleocharis_wilkensii,Eleocharis_tetraquetra
Eleocharis_wrightiana,Eleocharis_tenuis
Eleocharis_yunnanensis,Eleocharis_flavescens_var_olivacea
Elsholtzia_winitiana,Elsholtzia_splendens
Epilobium_wilsonii,Epilobium_sp.
Eremogone_ursina,Eremogone_capillaris
Eupatorium_rotundifolium,Eupatorium_rotundifolium_var._rotundifolium
Eupatorium_tweedianum,Eupatorium_mohrii
Eupatorium_vernosissimum,Eupatorium_fistulosum
Euphorbia_corollata,Euphorbia_corollata_var._corollata
Euphorbia_zeylana,Euphorbia_pubentissima
Fagopyrum_urophyllum,Fagopyrum_tataricum
Festuca_xprolifera,Festuca_sp.
Festuca_yulungschanica,Festuca_octiflora
Festuca_zobelii,Festuca_arundinacea
Ficus_yoponensis,Ficus_sarmentosa_var._nipponica
Ficus_zarzalensis,Ficus_sarmentosa_var._impressa
Ficus_zuliensis,Ficus_sarmentosa_var._henryi
Fraxinus_verticillata,Fraxinus_chinensis
Fraxinus_zanthoxyloides,Fraxinus_americana
Galium_watsonii,Galium_spurium
Gamblea_innovans,Gamblea_ciliata
Gentiana_yokusaei,Gentiana_triflora
Gentiana_zhenxiongensis,Gentiana_rubicunda
Geranium_zermattense,Geranium_koraiense
Girardinia_diversifolia_subsp._diversifolia,Girardinia_diversifolia
Gymnadenia_conopsea_subsp._conopsea,Gymnadenia_conopsea
Hedera_aesculifolia,Hedera_sinensis
Hieracium_zonulatum,Hieracium_sp.
Holboellia_angustifolia_subsp._angustifolia,Holboellia_angustifolia
Ilex_zippeliana,Ilex_cassine
Impatiens_zippelii,Impatiens_stenosepala
Impatiens_zixishanensis,Impatiens_noli-tangere
Indigofera_zornioides,Indigofera_nigrescens
Iris_zenaidae,Iris_sp.
Ixeridium_transnokoense,Ixeridium_dentatum
Ixeris_tamagawaensis,Ixeris_debilis
Jacobaea_vestita,Jacobaea_cannabifolia
Juncus_zeylanicus,Juncus_validus
Juniperus_wittmanniana,Juniperus_virginiana_var._silicola
Lactuca_watsoniana,Lactuca_sp.
Lactuca_zambesiaca,Lactuca_triangulata
Lagopsis_darwiniana,Lagopsis_supina
Larix_occidentalis,Larix_sp.
Larix_rossica,Larix_gmelinii_var._olgensis
Larix_sukaczewii,Larix_gmelinii_var._principis-rupprechtii
Lechea_tripetala,Lechea_mucronata
Ledum_angustifolium,Ledum_palustre_subsp._groenlandicum
Leonurus_wutaishanicus,Leonurus_macranthus
Ligularia_yunnanensis,Ligularia_mongolica
Linaria_zelliceriana,Linaria_canadensis
Linum_westii,Linum_medium_var._texanum
Lomatogonium_zhongdianense,Lomatogonium_rotatum
Lupinus_yarushensis,Lupinus_sp.
Luzula_acuminata,Luzula_acuminata_subsp._carolinae
Lychnis_terminalis,Lychnis_coronata
Lycopus_laurentianus,Lycopus_lucidus_var._hirtus
Lycopus_sherardii,Lycopus_lucidus_var._maackianus
Lycoris_uydoensis,Lycoris_aurea
Lysimachia_violascens,Lysimachia_terrestris
Lysimachia_wilsonii,Lysimachia_borealis
Magnolia_xinganensis,Magnolia_virginiana
Magnolia_yarumalensis,Magnolia_officinalis
Magnolia_yoroconte,Magnolia_fraseri
Magnolia_zoquepopolucae,Magnolia_denudata
Malus_zumi,Malus_soulardii
Melilotus_altissimus,Melilotus_officinalis_subsp._alba
Micranthes_davurica_var._grandipetala,Micranthes_davurica
Mimosa_mahilakensis,Mimosa_quadrivalvis_var._angustata
Mimosa_quadrivalvis_var._quadrivalvis,Mimosa_quadrivalvis
Minuartia_zarecznyi,Minuartia_rupestris
Morella_spathulata,Morella_cerifera
Muhlenbergia_xanthodas,Muhlenbergia_frondosa
Nabalus_alatus,Nabalus_trifoliolatus
Neolitsea_variabillima,Neolitsea_aurata_var._paraciculata
Neolitsea_zeylanica,Neolitsea_aurata_var._chekiangensis
Ocimum_albostellatum,Ocimum_x_africanum
Oclemena_reticulata,Oclemena_nemoralis
Orobanche_abyssinica,Orobanche_uniflora
Oxalis_yungasensis,Oxalis_griffithii
Oxalis_zeyheri,Oxalis_acetosella
Pachysandra_procumbens,Pachysandra_sp.
Panicum_trinapalium,Panicum_dichotomum
Panicum_zambesiense,Panicum_dichotomum
Panicum_zeylayense,Panicum_depauperatum
Parasenecio_tanake,Parasenecio_rubescens
Pedicularis_rubens,Pedicularis_sceptrum-carolinum
Peracarpa_carnosa_var._circaeoides,Peracarpa_carnosa
Persicaria_senegalensis,Persicaria_viscosa
Persicaria_wugongshanensis,Persicaria_sagittata
Pertya_discclor,Pertya_sinensis
Peucedanum_zenkeri,Peucedanum_harry-smithii
Phlomoides_zenaidae,Phlomoides_umbrosa
Phlox_vermejoensis,Phlox_pilosa
Phlox_viscida,Phlox_nivalis
Phlox_woodhousii,Phlox_caroliniana
Phyllostachys_sulphurea_var._viridis,Phyllostachys_sulphurea
Physaliastrum_chamaesarachoides,Physaliastrum_japonicum
Physalis_turbinatoides,Physalis_sp.
Physalis_volubilis,Physalis_angulata
Physalis_waterfallii,Physalis_alkekengi_var._franchetii
Pilea_yarensis,Pilea_cavaleriei
Pilea_zaranensis,Pilea_angulata
Pinus_zitacuaria,Pinus_henryi
Pityopsis_pinifolia,Pityopsis_graminifolia_var._latifolia
Plantago_wrightiana,Plantago_depressa
Platanthera_flava,Platanthera_flava_var._herbiola
Platanthera_orbiculata,Platanthera_orbiculata_var._macrophylla
Pleione_yunnanensis,Pleione_bulbocodioides
Pluchea_yucatanensis,Pluchea_baccharis
Poa_wisselii,Poa_urssulensis
Poa_yaganica,Poa_sibirica
Poa_zhongdianensis,Poa_annua
Polanisia_dodecandra,Polanisia_tenuifolia
Polygala_zambesiaca,Polygala_curtisii
Polygonum_unifolium,Polygonum_tenue
Polygonum_wallichii,Polygonum_muricatum
Populus_wulianensis,Populus_x_jackii
Populus_xiaozhuanica,Populus_x_canadensis
Populus_yunnanensis,Populus_sp.
Potentilla_webberi,Potentilla_parvifolia
Potentilla_wenchuensis,Potentilla_reptans
Potentilla_wilderae,Potentilla_multifida
Potentilla_wrangelii,Potentilla_fragarioides
Potentilla_yokusniana,Potentilla_chinensis
Potentilla_zhangbeiensis,Potentilla_argentea
Pouzolzia_weddellii,Pouzolzia_zeylanica
Premna_odorata,Premna_microphylla
Prenanthes_sarmentosa,Prenanthes_sp.
Primula_zeylanica,Primula_sieboldii
Prosartes_lanuginosa,Prosartes_sp.
Prunus_yuyamae,Prunus_sp.
Prunus_zingii,Prunus_leveilleana
Prunus_zippeliana,Prunus_cerasoides_var._campanulata
Psoralea_aculeata,Psoralea_onobrychis
Pterocarya_tonkinensis,Pterocarya_macroptera_var._insignis
Pyracantha_stoloniformis,Pyracantha_crenulata
Pyrola_xinjiangensis,Pyrola_sp.
Quercus_yiwuensis,Quercus_serrata
Quercus_yousei,Quercus_mongolica
Quercus_yunnanensis,Quercus_margarettae
Quercus_zan,Quercus_aliena
Reynoutria_mizushimae,Reynoutria_ciliinervis
Rhododendron_zoelleri,Rhododendron_micranthum
Rhododendron_zollingeri,Rhododendron_sp.
Rhynchosia_yunnanensis,Rhynchosia_tomentosa_var._mollissima
Rhynchospora_wightiana,Rhynchospora_grayi
Rhynchospora_zeylanica,Rhynchospora_globularis
Ribes_vulgare,Ribes_moupinense
Ribes_xizangense,Ribes_komarovii
Rosa_zhongdianensis,Rosa_multiflora_var._cathayensis
Rubus_yenosimanus,Rubus_pungens_var._oldhamii
Rubus_yoshinoi,Rubus_lambertianus_var._glaber
Rubus_zhaogoshanensis,Rubus_inopertus
Rubus_zwanzigeri,Rubus_innominatus_var._kuntzeanus
Rudbeckia_alpicola,Rudbeckia_hirta
Rudbeckia_scabrifolia,Rudbeckia_laciniata
Rumex_obtusifolius_subsp._obtusifolius,Rumex_obtusifolius
Sagittaria_aginashii,Sagittaria_latifolia
Salix_zhataica,Salix_sp.
Salvia_xeropapillosa,Salvia_miltiorrhiza
Salvia_yukoyukparum,Salvia_japonica
Salvia_zaragozana,Salvia_azurea
Sambucus_wightiana,Sambucus_canadensis
Sarcococca_zeylanica,Sarcococca_ruscifolia
Sassafras_randaiense,Sassafras_albidum
Saussurea_yunnanensis,Saussurea_dielsiana
Schizophragma_fauriei,Schizophragma_integrifolium
Scirpus_wichurae,Scirpus_wichurae_var._asiaticus
Scleria_zambesica,Scleria_muehlenbergii
Scleria_zelanica,Scleria_ciliata
Scutellaria_yunnanensis,Scutellaria_laeteviolacea
Scutellaria_zivari,Scutellaria_incana
Sedum_lungtsuanense_Fu,Sedum_lungtsuanense
Senecio_yacuanguensis,Senecio_dubitabilis
Serratula_bocconi,Serratula_sp
Sideroxylon_lanuginosum,Sideroxylon_lanuginosum
Silphium_compositum,Silphium_compositum
Smilax_herbacea,Smilax_herbacea
Smilax_rotundifolia,Smilax_rotundifolia
Solanum_zumbense,Solanum_tuberosum
Solidago_asperata,Solidago_altissima
Solidago_bicolor,Solidago_bicolor
Solidago_horieana,Solidago_arguta_var._caroliniana
Solidago_ptarmicoides,Solidago_roanensis
Solidago_sempervirens,Solidago_rugosa_var._rugosa
Solidago_spectabilis,Solidago_puberula
Solidago_squarrosa,Solidago_latissimifolia
Solidago_tortifolia,Solidago_odora_subsp._chapmanii
Solidago_ulmifolia,Solidago_caesia
Sonchus_webbii,Sonchus_wightianus
Sonchus_wildpretii,Sonchus_arvensis
Sparganium_yunnanense,Sparganium_sp.
Spermolepis_organensis,Spermolepis_echinatus
Spiraea_uratensis,Spiraea_x_vanhouttei
Spiraea_vorobjevii,Spiraea_tomentosa
Spiraea_zabeliana,Spiraea_alba
Spiranthes_werklei,Spiranthes_gracilis
Stachys_yemenensis,Stachys_riederi_var._japonica
Stachys_zoharyana,Stachys_affinis
Stellaria_wushanensis,Stellaria_dichotoma
Stellaria_zolotuchinii,Stellaria_chinensis
Stewartia_tonkinensis,Stewartia_sinensis_var._brevicalyx
Stillingia_zelayensis,Stillingia_sylvatica
Stranvaesia_nussia,Stranvaesia_amphidoxa
Stylisma_villosa,Stylisma_humistrata
Symphoricarpos_albus,Symphoricarpos_albus_var._laevigatus
Symphyotrichum_novi-belgii,Symphyotrichum_novi-belgii
Symphyotrichum_tenuifolium,Symphyotrichum_walteri
Symphyotrichum_welshii,Symphyotrichum_novae-angliae
Symphyotrichum_yukonense,Symphyotrichum_subulatum_var._ligulatum
Symplocos_cochinchinensis,Symplocos_cochinchinensis_var._laurina
Synurus_palmatopinnatifidus,Synurus_deltoides
Taraxacum_zamarrudiae,Taraxacum_platypecidium
Taxodium_mucronatum,Taxodium_distichum_var._imbricatum
Taxus_wallichiana,Taxus_wallichiana_var._chinensis
Teucrium_zanonii,Teucrium_viscidum
Tradescantia_zebrina,Tradescantia_roseolens
Trema_cannabina,Trema_cannabina_var._dielsiana
Triadenum_petiolatum,Triadenum_sp.
Utricularia_yakusimensis,Utricularia_cornuta
Uvularia_puberula,Uvularia_perfoliata
Vaccinium_xerampelinum,Vaccinium_vitis-idaea
Vaccinium_yakushimense,Vaccinium_stamineum
Vaccinium_youngii,Vaccinium_constablaei
Verbesina_bosvallea,Verbesina_heterophylla
Veronica_yushanchienshanica,Veronica_anagallis-aquatica
Vicia_variegata,Vicia_pseudo-orobus
Vicia_wushanica,Vicia_venosa
Viola_pedatifida,Viola_pedatifida_subsp._brittoniana
Viola_yunnanfuensis,Viola_papilionacea
Viola_zophodes,Viola_epipsila
Viola_zoysii,Viola_emarginata
Vitex_zeyheri,Vitex_negundo_var._cannabifolia
Vitis_wenxianensis,Vitis_baileyana
Vitis_yunnanensis,Vitis_aestivalis_var._argentifolia
Xyris_xiphophylla,Xyris_laxifolia_var._iridifolia
Yucca_valida,Yucca_filamentosa
Zanthoxylum_wutaiense,Zanthoxylum_americanum
